campaign,L,V,theta,delta,mu,boundary,hs_scheme,stabilization_interval,guard,n,S_pi,S_pi_seed_sem,S_pi_dq,S_pi_dq_seed_sem,R_cdw,R_cdw_seed_sem,average_sign,average_sign_seed_sem,sign_corrections,diagnostic_sign_mismatch_count,max_sign_imag,max_fast_full_green_rel
hs_crosscheck,10,6,18,1,0,0,0,10,0,6,0.31614608130354305,0.20859437496491878,-0.015199781301814286,0.03855065240178716,1.1872474326019808,0.10325064786293603,0.052222222222222225,0.008950343120535024,3.0,0.0,0.0006117545880769803,0.0
hs_crosscheck,10,6,18,1,0,0,1,10,0,6,0.19111192012103514,0.0015747180976819451,0.014225801522572407,0.0004452723641389327,0.9254432109231595,0.002913819136670625,1.0,0.0,0.0,0.0,5.28789531290687e-08,0.0
hs_crosscheck,10,6,18,1,0,1,0,10,0,6,0.16592026591716294,0.07199750466716412,0.027729556529948948,0.025035084183596783,1.1015764330668925,0.1457920200999623,0.11555555555555556,0.007417030785901615,3.0,0.0,0.008719342925954202,0.0
hs_crosscheck,10,6,18,1,0,1,1,10,0,6,0.16930573910092048,0.000853049284978682,0.020315388093053787,0.0002816057944696571,0.879950848387366,0.002283129874610485,1.0,0.0,0.0,0.0,3.4877128590230734e-06,0.0
hs_crosscheck,18,2,10,1,0,0,0,10,0,6,0.024161852958770883,0.00012339234119324702,0.02234462744504165,7.669531299352308e-05,0.07516838164013578,0.001797690669505074,0.7994444444444443,0.007129316972461468,0.0,0.0,2.4072187769841787e-09,0.0
hs_crosscheck,18,2,10,1,0,0,1,10,0,6,0.024113310660032857,8.332412410027048e-05,0.02234290014290645,6.102278726142828e-05,0.07334430620942202,0.004927207442723369,1.0,0.0,0.0,0.0,1.3942229015651968e-11,0.0
hs_crosscheck,18,2,10,1,0,1,0,10,0,6,0.024418934826131236,8.568186638479305e-05,0.02269325149221445,4.3592845216856755e-05,0.07064334986376199,0.001550577250008596,0.7884444444444444,0.002313673792856949,0.0,0.0,2.583830665027898e-08,0.0
hs_crosscheck,18,2,10,1,0,1,1,10,0,6,0.024349320271159672,0.00012710199443218993,0.022728735130289942,8.78166251842e-05,0.06636130240310667,0.00782653720953539,1.0,0.0,0.0,0.0,1.1016402229818793e-11,0.0
hs_crosscheck,18,2,18,1,0,0,0,10,0,6,0.02398356736749736,0.00011885197729891411,0.022252531572020298,6.921175851687492e-05,0.07213084951826253,0.00198684138227337,0.6649999999999999,0.0036747385898460395,0.0,0.0,3.0268031570420513e-09,0.0
hs_crosscheck,18,2,18,1,0,0,1,10,0,6,0.024047291335156293,6.842961920535233e-05,0.022457445262781598,9.604011129444093e-05,0.06606142677819708,0.005318457246253204,1.0,0.0,0.0,0.0,2.031789115241958e-11,0.0
hs_crosscheck,18,2,18,1,0,1,0,10,0,6,0.024526503212554052,8.446026287172683e-05,0.02273908135902054,6.760042292939566e-05,0.07286825037400803,0.0008502454648297075,0.6521111111111111,0.005367713263486827,0.0,0.0,1.6885601391079684e-09,0.0
